,name,CHAL1_ans,CHAL1_txt,Primary cycle code,CHAL1_con,CHAL1_lik,CHAL2_ans,CHAL2_txt,Primary cycle code,CHAL2_con,CHAL2_lik
156,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,The rainfall event only happens 1.6 days in a year so if i use erosion control measures i can be protected each year,based on average,very confident,very unlikely,yes,If i had insurance id be protected from spending lots of money on repairs,avoid damage and its costs,extremely confident,exceptionally unlikely
164,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Seems to be the most cost effective.,cost effective,moderately confident,unlikely,yes,"The likelihood of having another heavy rainfall event is projected to increase. The damage caused by the previous heavy rain event was $25,000. Paying $480 per year for the insurance seems like a prudent expense, especially with the rising costs of repairs.",cost benefit analysis,very confident,likely
165,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Because it makes more sense,logical choice,moderately confident,likely,no,Because it makes sense ,logical choice,very confident,likely
166,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,IT HAPPENS 1.6 DAYS PER YEAR,based on average,extremely confident,virtually certain,no,EXTREME DANGER IT OCCURS,wrong answer,very confident,virtually certain
170,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),This only needs to be installed and that is it. ,fix and forget,moderately confident,exceptionally unlikely,yes,Heavy rainfall occurs at least once a year.,risk of flood(s),extremely confident,virtually certain
179,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Seems to be the smartest way to save money ,saves money,extremely confident,likely,yes,To protect myself,protection of home and family,very confident,about as likely as not
181,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Average occurrence is 1.6%,based on average,very confident,exceptionally unlikely,yes,The premiums would be roughly 15K - lower than any repair cost,cost effective,very confident,very likely
183,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Rainfall is increasing quickly.,increase in rainfall,moderately confident,very likely,no,The probablity of another flood is high according to the bar graph.,wrong answer,very confident,very likely
186,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because pavyng the drive way can protect against heavy rainfall,to be prepared and protect,extremely confident,likely,no,Because many people loose their houses due to floods and having insurance can help people rebuild their homes,wrong answer,very confident,very likely
197,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,i just did and frankly these questiosn are annoying i aint taking a test here ,feels right,moderately confident,likely,yes,i just did,feels right,moderately confident,exceptionally unlikely
204,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,it went down,decrease in rainfall,not very confident,very likely,yes,it rains more,increase in rainfall,extremely confident,virtually certain
208,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Average rainfall amounts vs. cost of repair.,cost benefit analysis,moderately confident,very likely,yes,I live in a high probablity of flood area.,confusion about personal home,moderately confident,likely
213,Bar_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Average ,based on average,very confident,unlikely,yes,Price ,cost effective,moderately confident,likely
218,Bar_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It's the best choice in the long run,logical choice,extremely confident,virtually certain,yes,Based on the graph and how the first floor was flooded before there's a good chance it'll happen again,history of flood,extremely confident,virtually certain
219,Bar_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,"There will most likely be at least 2 heavy rainfall events per year in the future, so I'd want to install something that would give me more than 2 days of protection per year.",freeboard added,moderately confident,very unlikely,yes,There is a good chance that more than 2 inches of rainfall will occur in a year in the future.,increase in rainfall,extremely confident,very likely
